ubigeo;aet;pet;pr;ro;soil;tmmn;tmmx;vs
200409;21.475234;110.449689;15.625243;0.451503;10.913295;13.348755;26.192464;27.910485
200410;26.424402;108.532007;18.860004;0.456117;12.606044;13.552149;26.241799;27.247342
200501;0.011351;129.59828;0;0;0.2;16.665379;28.472716;47.076868
200502;0.012366;127.295919;0;0;0.2;17.482101;29.145331;40.641135
200503;0.011451;130.016807;0;0;0.2;17.4;29.091176;43.306408
200504;0.127536;1281.5;0;0;2;171;288;467.321429
200505;0.006947;125.64698;0;0;0.2;17.052918;29.098326;40.216754
200506;0.010865;125.674543;0;0;0.2;17.55188;29.268421;39.063201
200507;0.012829;129.830792;0;0;0.2;17.50887;28.917582;45.021782
200601;0.746092;118.473364;0.406108;0;1.248484;17.665188;30.156526;27.536033
200602;0.052229;122.333333;0;0;0.3;17.5;29.8;30.9
200603;0.013267;120.984906;0;0;0.220486;17.565192;29.40852;35.815825
200604;3.581491;117.921047;0.617912;0.049973;7.634057;17.766717;30.160354;25.597193
200605;0.619792;117.797627;0.033826;0.009119;2.802674;17.140566;29.195985;31.047034
200606;0.009665;117.854487;0;0;0.221581;17.192276;29.470224;35.243028
200607;0.654997;116.867666;0.392722;0;1.557217;17.978891;30.299284;27.350179
200608;0.101497;115.877315;0;0;0.582402;17.673016;29.956349;30.110317
200701;0.057672;121.745179;0.00263;0;0.928871;17.267283;28.700908;37.487685
200702;0.057001;118.66723;0.005521;0;1.181572;17.762882;28.74074;39.840744
200703;0.021835;125.640932;0.000676;0;0.324395;17.29988;28.699925;41.461074
200704;0.253731;1308.8;0;0;2;176;285;436.444444
200705;0.073138;118.98783;0.014349;0;1.04121;18.170606;28.876061;41.145822
200706;0.07242;117.800899;0.002137;0;1.15748;18.550252;29.190302;40.040395
200801;0.160622;1208.5;0;0;2;168;281;380.153846
200802;0.02142;123.118421;0;0;0.268421;16.740351;28.817544;40.048665
200803;0.041436;121.063843;0;0;0.292096;16.760137;28.842612;38.901012
200804;0.028723;123.758575;0;0;0.288379;16.909138;28.933646;37.753523
200805;0.130369;1294.943647;0;0;2;168;287.010566;461.339866
200806;0.014471;124.444329;0;0;0.2;16.732927;28.727439;42.526423
210101;45.492251;96.091511;33.095635;2.386774;21.406845;1.620292;14.756442;23.873552
210102;40.531606;93.743021;30.024083;1.272402;20.94162;0.882402;13.806169;24.974614
210103;62.380909;96.665758;52.301515;2.504368;33.785;4.676364;15.109091;21.876364
210104;36.390084;98.664522;28.981715;1.211009;16.285853;2.816972;16.714679;22.59578
210105;56.529132;96.580276;45.609328;2.296427;28.875297;4.32637;15.171461;22.07774
210106;53.558624;96.642059;39.919167;2.533707;26.282351;3.160986;15.005647;23.00462
210107;52.269093;97.470438;40.398523;2;25.206064;3.972912;15.924105;22.00895
210108;46.567864;98.736326;35.797605;2;21.424219;3.854537;16.416204;22.126667
210109;37.048589;91.481316;28.592939;0.7668;18.421252;-1.559282;13.580093;25.375686
210110;40.976769;98.446535;31.207362;1.820278;18.643939;3.171703;16.284066;22.636951
210111;35.219428;91.391292;25.268163;0.712931;20.456192;-1.072132;12.997369;26.026884
210112;53.612467;97.195023;40.547679;2.539088;25.411015;3.434146;15.237805;22.967122
210113;38.762966;86.905788;27.958315;0.83985;27.300852;-3.046877;11.783392;26.943435
210114;39.694469;92.430334;30.123242;1.586128;19.641365;-0.804814;13.636608;25.18045
210115;35.247685;97.602481;28.588446;1.183713;15.911583;1.548897;15.948223;23.383946
